,store,level,latitude,longitude,Stadium_200,Stadium_500,Stadium_1000,Food_200,Food_500,Food_1000,Athletics_Sports_200,Athletics_Sports_500,Athletics_Sports_1000,Parking_200,Parking_500,Parking_1000,Shop_Service_200,Shop_Service_500,Shop_Service_1000,Clothing_Store_200,Clothing_Store_500,Clothing_Store_1000,Bus_Stop_200,Bus_Stop_500,Bus_Stop_1000,Metro_Station_200,Metro_Station_500,Metro_Station_1000
69,Nike Factory Store - Sevierville,factory,35.8334566,-83.5704932,0,0,0,9,35,47,1,1,5,0,0,0,50,50,50,50,50,50,0,0,1,0,0,0
70,Nike Factory Store - Simpsonville,factory,38.2060663,-85.3515152,0,0,0,9,12,17,1,2,3,0,0,0,48,48,48,48,48,47,0,0,0,0,0,0
71,Nike Factory Store - Smithfield,factory,35.5107782,-78.3123015,0,0,0,3,10,41,0,2,3,0,0,0,44,50,50,36,50,50,0,0,0,0,0,0
72,Nike Factory Store - Somerville,factory,42.3952062,-71.0807227,0,0,1,19,47,50,2,13,34,2,5,6,49,50,50,30,32,37,0,0,7,0,1,4
73,Nike Factory Store - Spokane,factory,47.6593716,-117.4218114,0,1,8,48,50,50,8,18,43,3,12,15,36,49,50,28,32,46,0,0,0,0,0,0
74,Nike Factory Store - Staten Island,factory,40.6436347,-74.0751538,1,1,1,36,46,50,0,2,7,1,5,5,25,37,50,9,12,13,5,8,19,1,1,1
75,Nike Factory Store - Tinton Falls,factory,40.2225136,-74.0951913,0,0,0,8,24,34,0,1,6,0,0,0,48,50,50,50,50,50,0,0,0,0,0,0
76,Nike Factory Store - Tulalip,factory,48.0921697,-122.1875994,0,0,0,17,32,49,2,2,3,1,3,3,50,50,50,49,50,50,0,0,1,0,0,0
77,Nike Factory Store - Tuscaloosa,factory,33.1922506,-87.527234,0,0,1,19,48,50,1,1,8,0,2,2,42,50,50,24,50,50,0,0,0,0,0,0
78,Nike Factory Store - Wisconsin Dells,factory,43.5714594,-89.7863798,0,0,0,2,10,41,0,2,8,0,0,1,49,50,50,38,49,49,0,0,0,0,0,0
79,Nike Factory Store - Woodburn,factory,45.1573677,-122.8768993,0,0,0,16,23,43,1,2,2,0,0,0,50,50,50,50,50,50,0,0,0,0,0,0
80,"71 chester st,Boston,MA",non,42.353146,-71.127922,0,0,2,34,50,50,2,13,48,0,3,5,24,50,50,0,9,11,1,4,15,0,4,11
81,Fort River Elementary School,non,42.374791,-72.497669,0,0,0,0,5,7,1,5,6,0,0,0,1,22,33,0,0,0,0,0,2,0,0,0
82,"1 Corcoran Ln, Cambridge, MA 02138",non,42.3763782,-71.1536206,0,0,0,1,23,46,0,8,15,0,0,0,8,42,47,0,4,7,0,4,5,0,0,0
83,"41 Marion Rd, Belmont, MA 02478",non,42.3773821,-71.1581374,0,0,0,5,20,47,0,2,13,0,0,0,11,37,47,0,2,5,1,1,5,0,0,0
84,"Plainville, CT 06062",non,41.6757457,-72.8633635,0,0,0,0,14,40,0,2,12,0,0,1,2,41,47,0,1,3,0,0,0,0,0,0
85,"18 Lake Rd, Warren, CT 06754",non,41.7438309,-73.3463093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"1 Macedonia Rd, Kent, CT 06757",non,41.7269113,-73.4824347,0,1,2,0,7,19,5,8,12,0,0,0,0,23,43,0,5,8,0,0,0,0,0,0
87,"310 Malcolm X Blvd, New York, NY 10027",non,40.8080989,-73.9447535,0,0,1,49,50,50,8,28,49,1,3,13,46,50,50,24,49,48,3,11,50,1,1,13
88,"585 Schenectady Ave, Brooklyn, NY 11203",non,40.6593996,-73.9337766,0,0,0,8,45,50,0,3,17,0,1,2,12,48,50,0,2,32,0,2,6,0,0,1
89,"2795 Richmond Ave, Staten Island, NY 10314",non,40.5769976,-74.1665527,0,0,0,6,47,48,3,4,9,1,5,7,37,50,50,2,49,50,2,7,10,0,0,0
90,"33 Harding St, Ewing Township, NJ 08618",non,40.266509,-74.786573,0,1,1,1,10,28,0,3,10,0,0,2,1,9,25,0,1,1,0,0,0,0,0,0
91,"601 N Main St, Sellersville, PA 18960",non,40.3694345,-75.3122918,0,0,0,0,0,6,0,2,5,0,0,0,1,2,25,0,0,1,0,0,0,0,0,0
92,"951 N 6th St, Reading, PA 19601",non,40.3494126,-75.9249691,0,0,1,1,18,35,0,0,2,0,0,2,8,34,40,2,3,5,0,0,0,0,0,0
93,"5701 Connecticut Ave NW, Washington, DC 20015",non,38.9663248,-77.0760082,0,0,0,12,20,49,3,5,22,0,0,4,21,36,50,2,5,42,1,1,4,0,0,1
94,"9900 Greenbelt Rd, Lanham, MD 20706",non,38.9915786,-76.8330842,0,0,0,3,3,17,0,5,7,0,0,0,15,19,34,0,0,0,0,0,0,0,0,0
95,"992 Millwood Pike, Winchester, VA 22602",non,39.1603531,-78.1545707,0,0,0,18,29,47,3,4,9,0,0,0,19,36,50,2,2,29,0,0,0,0,0,0
96,"2100 Aspen Heights Ln, Harrisonburg, VA 22801",non,38.4123219,-78.8655975,0,0,0,0,2,14,0,0,5,0,0,0,2,2,19,0,0,0,0,0,0,0,0,0
97,"2105 Umstead Dr, Raleigh, NC 27603",non,35.7728444,-78.6639108,0,0,0,2,2,22,0,0,9,0,0,5,1,1,25,0,0,1,0,0,0,0,0,0
98,"943 S 5th St, Mebane, NC 27302",non,36.0747587,-79.2782142,0,0,0,3,14,32,0,3,6,0,0,0,3,29,50,0,0,50,0,0,0,0,0,0
99,"36 Sunset Dr, Manning, SC 29102",non,33.6907461,-80.212698,0,0,0,4,12,18,0,0,2,0,0,0,13,39,38,1,5,7,0,0,0,0,0,0
100,"301 King St, Charleston, SC 29401",non,32.7833395,-79.9349445,1,1,1,50,50,50,9,22,44,5,20,39,50,50,50,49,50,50,0,0,0,0,0,0
101,"400 Oak St, Eastman, GA 31023",non,32.1947181,-83.1765818,0,0,0,8,17,24,2,2,2,0,0,0,10,39,44,0,4,7,0,0,0,0,0,0
102,"64 Comas St, Baxley, GA 31513",non,31.7773805,-82.3484526,0,0,0,5,13,25,0,0,1,0,0,0,24,41,40,3,7,7,0,0,0,0,0,0
103,"115 W Adams St, Jacksonville, FL 32202",non,30.3283691,-81.6593691,0,0,2,43,50,50,6,14,24,6,24,40,22,34,42,5,11,13,0,4,5,0,0,0
104,"42 W Central Blvd, Orlando, FL 32801",non,28.5418802,-81.3797665,0,6,11,49,50,50,6,28,45,14,42,50,23,49,50,4,10,20,0,4,6,1,1,1
105,"4280 Mockingbird Dr, Boynton Beach, FL 33436",non,26.542146,-80.1105081,0,0,0,0,4,12,0,1,3,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0
